sessions_dir,id,session,completed_paperwork,raw_videos,converted_videos,imu_files,datavyu_files,position_primary,position_rel,activity_exported,biostamp_annotations,infant_synced,lena_downloaded,lena_processed,lena_synced,pt2_processed,agemo,date,start_time,end_time
Z:/study_imu_long/data/128/2,128,2,2,12,1,11,0,0,0,0,0,0,0,0,0,0,12.057494866529774,1/25/23,09:17:00,17:45:00
Z:/study_imu_long/data/128/3,128,3,3,4,2,10,0,0,0,0,0,0,0,0,0,0,13.010266940451745,2/23/23,09:11:00,19:37:00
Z:/study_imu_long/data/130/1,130,1,3,9,3,14,1,90,94,1,1,1,1,2,1,0,10.743326488706366,12/19/22,09:28:00,18:55:00
Z:/study_imu_long/data/130/2,130,2,3,12,6,11,0,0,0,0,0,0,0,0,0,0,12.02464065708419,1/27/23,10:20:00,20:00:00
Z:/study_imu_long/data/130/3,130,3,3,11,2,11,0,0,0,0,0,0,0,0,0,0,12.845995893223819,2/21/23,10:11:00,15:36:00
Z:/study_imu_long/data/132/3,132,3,3,4,1,10,0,0,0,0,0,0,0,0,0,0,5.848049281314168,2/7/23,09:41:00,19:00:00
Z:/study_imu_long/data/133/1,133,1,3,5,2,12,0,0,0,0,0,0,0,0,0,0,11.137577002053389,2/10/23,09:22:00,21:57:00
Z:/study_imu_long/data/134/1,134,1,3,6,0,11,0,0,0,0,0,0,0,0,0,0,11.236139630390143,2/12/23,09:19:00,19:05:00
Z:/study_imu_long/data/136/1,136,1,3,5,2,10,0,0,0,0,0,0,0,0,0,0,11.170431211498974,2/15/23,10:12:00,21:50:00
Z:/study_imu_long/data/138/1,138,1,3,1,0,11,0,0,0,0,0,0,0,0,0,0,3.7125256673511293,3/8/23,09:55:00,20:00:00
Z:/study_imu_long/data/139/1,139,1,3,6,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
