id,.metric,.estimator,.estimate,.config
Resample17,kap,multiclass,0.9277446682756243,Preprocessor1_Model1
Resample17,bal_accuracy,macro,0.9557787906421675,Preprocessor1_Model1
Resample17,sens,macro,0.9267399267399268,Preprocessor1_Model1
Resample17,spec,macro,0.9848176545444082,Preprocessor1_Model1
Resample18,accuracy,multiclass,0.8178228990411731,Preprocessor1_Model1
Resample18,kap,multiclass,0.7463776556145507,Preprocessor1_Model1
Resample18,bal_accuracy,macro,0.8902033790112195,Preprocessor1_Model1
Resample18,sens,macro,0.824552464211345,Preprocessor1_Model1
Resample18,spec,macro,0.955854293811094,Preprocessor1_Model1
Resample19,accuracy,multiclass,0.978386167146974,Preprocessor1_Model1
Resample19,kap,multiclass,0.9704862956898934,Preprocessor1_Model1
Resample19,bal_accuracy,macro,0.9856516409352271,Preprocessor1_Model1
Resample19,sens,macro,0.9774182293349158,Preprocessor1_Model1
Resample19,spec,macro,0.9938850525355382,Preprocessor1_Model1
Resample20,accuracy,multiclass,0.9947019867549669,Preprocessor1_Model1
Resample20,kap,multiclass,0.9836581634102491,Preprocessor1_Model1
Resample20,bal_accuracy,macro,0.9956903961699397,Preprocessor1_Model1
Resample20,sens,macro,0.9930872248051417,Preprocessor1_Model1
Resample20,spec,macro,0.998293567534738,Preprocessor1_Model1
Resample21,accuracy,multiclass,0.9723991507430998,Preprocessor1_Model1
Resample21,kap,multiclass,0.9596684302473233,Preprocessor1_Model1
Resample21,bal_accuracy,macro,0.9694626130461632,Preprocessor1_Model1
Resample21,sens,macro,0.9460669035123789,Preprocessor1_Model1
Resample21,spec,macro,0.9928583225799477,Preprocessor1_Model1
Resample22,accuracy,multiclass,0.9497066219614417,Preprocessor1_Model1
Resample22,kap,multiclass,0.8854991138098498,Preprocessor1_Model1
Resample22,bal_accuracy,macro,0.918182388142628,Preprocessor1_Model1
Resample22,sens,macro,0.8477795962902347,Preprocessor1_Model1
Resample22,spec,macro,0.9885851799950212,Preprocessor1_Model1
Resample23,accuracy,multiclass,0.6729464958553127,Preprocessor1_Model1
Resample23,kap,multiclass,0.5716613649734221,Preprocessor1_Model1
Resample23,bal_accuracy,macro,0.8356490344328885,Preprocessor1_Model1
Resample23,sens,macro,0.7505098592995789,Preprocessor1_Model1
Resample23,spec,macro,0.920788209566198,Preprocessor1_Model1
Resample24,accuracy,multiclass,0.8278388278388278,Preprocessor1_Model1
Resample24,kap,multiclass,0.759088500486083,Preprocessor1_Model1
Resample24,bal_accuracy,macro,0.9039913808401419,Preprocessor1_Model1
Resample24,sens,macro,0.8536544185311202,Preprocessor1_Model1
Resample24,spec,macro,0.9543283431491636,Preprocessor1_Model1
