id,.metric,.estimator,.estimate
12101,f_meas,macro,0.9013084643906855
12302,f_meas,macro,0.9727793693231888
12303,f_meas,macro,0.970614191241893
12501,f_meas,macro,0.9789583814409875
12502,f_meas,macro,0.9801102562425565
13001,f_meas,macro,0.9885109599395314
9908,ppv,macro,0.9964285714285716
9909,ppv,macro,0.6866135733528115
9910,ppv,macro,0.8606479147214443
9911,ppv,macro,0.8909247757073844
10201,ppv,macro,1
10203,ppv,macro,0.9723693681017163
10204,ppv,macro,0.9272004908646132
10301,ppv,macro,0.9956982793117247
10401,ppv,macro,0.9846141215106733
10501,ppv,macro,1
10601,ppv,macro,0.9148235294117653
10701,ppv,macro,0.9246794871794872
10702,ppv,macro,0.9878890160183067
10703,ppv,macro,0.9819964325227484
10704,ppv,macro,0.9747175391895889
10802,ppv,macro,0.9706855791962176
10901,ppv,macro,0.9080714914462855
11001,ppv,macro,0.927784739626845
11002,ppv,macro,0.9602126240924587
11004,ppv,macro,0.894230482161517
11102,ppv,macro,0.9653846153846155
11103,ppv,macro,0.9892166020232124
11104,ppv,macro,0.8933055875137603
11202,ppv,macro,0.8683823914181057
11501,ppv,macro,0.8695205479452055
11601,ppv,macro,NA
11901,ppv,macro,0.9520000000000001
12001,ppv,macro,0.9601921698623255
12002,ppv,macro,0.9764785960997266
12101,ppv,macro,0.915491272134607
12302,ppv,macro,0.9765682813161984
12303,ppv,macro,0.9678713515523328
12501,ppv,macro,0.9853830579322056
12502,ppv,macro,0.9759300010139139
13001,ppv,macro,0.9857142857142858
9908,sens,macro,0.9989304812834225
9909,sens,macro,0.6797954447954448
9910,sens,macro,0.9010389610389611
9911,sens,macro,0.9224191619877722
10201,sens,macro,1
10203,sens,macro,0.9670069151987558
10204,sens,macro,0.9375222146274779
10301,sens,macro,0.9867538126361657
10401,sens,macro,0.9908758543951678
10501,sens,macro,1
10601,sens,macro,0.963677549987345
10701,sens,macro,0.9264331552763144
10702,sens,macro,0.9862262038073909
10703,sens,macro,0.9787330316742082
10704,sens,macro,0.965998696643858
10802,sens,macro,0.9519445873212994
10901,sens,macro,0.9288095238095239
11001,sens,macro,0.9715191098872313
11002,sens,macro,0.9190259740259741
11004,sens,macro,0.9666666666666668
11102,sens,macro,0.9729797979797981
11103,sens,macro,0.9910285747814352
11104,sens,macro,0.9242665133540453
11202,sens,macro,0.9089656885667525
11501,sens,macro,0.9666666666666668
11601,sens,macro,0.9224738675958188
11901,sens,macro,0.9795936139332366
12001,sens,macro,0.9606625258799173
12002,sens,macro,0.9007815723573357
12101,sens,macro,0.90676949926673
12302,sens,macro,0.971304347826087
12303,sens,macro,0.9761904761904763
12501,sens,macro,0.9740693196405649
12502,sens,macro,0.9847289850487474
13001,sens,macro,0.992
9908,spec,macro,0.9994301994301995
9909,spec,macro,0.952569130904622
9910,spec,macro,0.9877394009632267
9911,spec,macro,0.9798365561527204
10201,spec,macro,1
10203,spec,macro,0.9927313632272254
10204,spec,macro,0.9812653692374709
10301,spec,macro,0.996941798941799
10401,spec,macro,0.9964654897526436
10501,spec,macro,1
10601,spec,macro,0.9950703388550525
10701,spec,macro,0.9937996988804312
10702,spec,macro,0.9986226115525929
10703,spec,macro,0.9983358208491278
10704,spec,macro,0.9946683552182561
10802,spec,macro,0.990424147801197
10901,spec,macro,0.9946346445448306
11001,spec,macro,0.9958360520377096
11002,spec,macro,0.9935457393046974
11004,spec,macro,0.9970310535371079
11102,spec,macro,0.9901724665782223
11103,spec,macro,0.9977643482729409
11104,spec,macro,0.9694962458326409
11202,spec,macro,0.9737803871614479
11501,spec,macro,0.990547396528705
11601,spec,macro,0.9795144724556489
11901,spec,macro,0.9937823834196892
12001,spec,macro,0.9854579577393608
12002,spec,macro,0.9934188023855578
12101,spec,macro,0.9891045704885202
12302,spec,macro,0.9971319823493737
12303,spec,macro,0.9960492085110502
12501,spec,macro,0.9921299758996095
12502,spec,macro,0.997053882814612
13001,spec,macro,0.9968750000000001
